ORGAO
ADMINISTRACAO GERAL DO ESTADO
ADMINISTRACAO PENITENCIARIA
AGENCIA DE DESENVOLVIMENTO PAULISTA
AGENCIA MET.CAMPINAS AGEMCAMP
AGENCIA METROPOLITANA DA BAIXADA SANTISTA
AGENCIA METROPOLITANA DE CAMPINAS
AGENCIA METROPOLITANA DE SOROCABA
AGENCIA METROPOLITANA DO VALE DO PARAIBA
AGENCIA REG.SANEA.ENERGIA E.SP-ARSESP
AGENCIA REG.SERV.P.DEL.TRANS.E.SP-ARTESP
AGRICULTURA
AGRICULTURA ABASTECIMENTO
CAIXA BENEFICENTE DA POLICIA MILITAR
CASA CIVIL
CENTRO EDUC. TECNOL.PAULA SOUZA-CEETEPS
CIA DESENVOLVIMENTO AGRICOLA SP-CODASP
CIA PAULISTA OBRAS E SERVICOS-CPOS
CIA. AMBIENTAL EST. SP - CETESB
CIA. PROCES. DADOS EST.S.P.-PRODESP
CIA.DESENV.HABITAC.URBANO EST. SP-CDHU
CIA.DO METROPOLITANO DE SAO PAULO-METRO
CIA.PAULISTA DE SECURITIZACAO-CPSEC
CIA.PAULISTA DE TRENS METROPOLITANO-CPTM
CIA.PAULISTA PARCERIAS-CPP
CIA.SANEAMENTO BASICO EST.S.PAULO-SABESP
CIA.SEGUROS DO EST. DE SAO PAULO-COSESP
COMPANHIA DOCAS DE SAO SEBASTIAO
COMPANHIA ENERGETICA DE SAO PAULO-CESP
COMPANHIA PAUL. EVENTOS E TURISMO-CPETUR
COMPANHIA PAULISTA DE PARCEIRAS-CPP
Companhia Paulista de Parcerias
Companhia Paulista de Parcerias Â– CPP
Companhia Paulista de SecuritizaÃ¾Ã’o
CULTURA
DEPARTAMENTO AEROVIARIO EST. SP-DAESP
DEPARTAMENTO DE ESTRADAS DE RODAGEM-DER
DEPARTAMENTO ESTADUAL DE TRANSITO-DETRAN
DEPARTAMENTO ESTRADA RODAGEM-DER
DEPTO.DE AGUAS E ENERGIA ELETRICA-DAEE
"DESENV. ECON.,CIENC.,TECNOLOG E INOVACAO"
DESENVOLVE SP -AGEN. DE DESENV. PAULISTA
DESENVOLVIMENTO METROPOLITANO
DESENVOLVIMENTO RODOVIARIO S/A-DERSA
DESENVOLVIMENTO SOCIAL
DIREITOS DA PESSOA COM DEFICIENCIA
EMP.PAULISTA PLANEJ.METROPLITANO S.A-EMP
EMP.PTA. PLAN.METROPLITANO S.A-EMPLASA
EMPR METROPOL AGUAS E ENERGIA S/A-EMAE
EMPREGO E RELACOES DO TRABALHO
EMPRESA METROP.TRANS.URB.S.PAULO-EMTU
EMPRESA PLANEJ. METROPOLITANO-EMPLASA
FACULDADE DE MEDICINA DE MARILIA-FAMEMA
FACULDADE MEDICINA SAO JOSE DO RIO PRETO
FUND.AMPARO PESQUISA S.PAULO-FAPESP
FUND.CONSERV.PROD.FLORESTAL S.PAULO
FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP
FUND.DESENV. DA EDUCACAO-FDE
FUND.INST.TERRAS JOSE G. DA SILVA-ITESP
FUND.MEMORIAL DA AMERICA LATINA
FUND.ONCOCENTRO DE S.PAULO
FUND.PADRE ANCHIETA-CP RAD TV EDUCATIVA
FUND.PARA O REMEDIO POPULAR-FURP
FUND.PE.ANCHIETA-C.P.RADIO TV.EDUCATIVA
FUND.PREV.COMPL.EST.SP-PREVCOM
FUND.PRF.DR.MANOEL PEDRO PIMENTEL-FUNAP
FUND.PRO-SANGUE-HEMOCENTRO S.PAULO
FUND.PROTECAO DEFESA CONSUMIDOR-PROCON
FUND.SISTEMA EST.ANALISE DADOS-SEADE
FUND.UNIV.VIRTUAL EST. S.P.-UNIVESP
FUNDACAO DESENVOLV.ADMINISTRATIVO-FUNDAP
FUNDACAO DESENVOLVIMENTO DA EDUCACAO-FDE
FUNDACAO INSTITUTO DE TERRAS DO EST.S.P.
FUNDACAO MEMORIAL DA AMERICA LATINA
FUNDACAO ONCOCENTRO DE SAO PAULO
FUNDACAO PARA O REMEDIO POPULAR-FURP
FUNDACAO PARQUE ZOOLOGICO DE SAO PAULO
FUNDACAO PREFEITO FARIA LIMA-CEPAM
FUNDACAO PREVIDENCIA COMPLEMENTAR ESTADO
FUNDACAO PROF.D.MANOEL P.PIMENTEL -FUNAP
FUNDACAO PRO-SANGUE-HEMOCENTRO SAO PAULO
FUNDACAO PROTEC.DEFESA CONSUMIDOR-PROCON
FUNDACAO SISTEMA EST.ANALISE DADOS-SEADE
FUNDACAO UNIVERSIDADE VIRTUAL DO ESTADO
GABINETE DO GOVERNADOR
GESTAO PUBLICA
GOVERNO
HOSP.CLIN.FAC.MED.MARILIA
HOSP.CLINICAS FAC.MEDICINA RIB.PRETO-USP
HOSPITAL CLINICAS FAC.MED.BOTUCATU-HCFMB
HOSPITAL CLINICAS FACULDADE MEDICINA-USP
HOSPITAL DAS CLINICAS FAC.MED. DA USP
HOSPITAL DAS CLINICAS FAC.MED. RIB.PRETO
IMPR.OFICIAL ESTADO S.A. IMESP
IMPRENSA OFICIAL DO ESTADO S/A - IMESP
IMPRENSA OFICIAL DO ESTADO S/A-IMESP
INST MEDICINA SOC E CRIMIN S.P. -IMESC
INST.ASSIST.MEDICA SERV.PUBLICO-IAMSPE
INST.DE PAGTOS ESPECIAIS S. PAULO-IPESP
INST.PESOS MEDIDAS EST.SAO PAULO-IPEM/SP
INST.PESQUISAS TECN. EST.S.PAULO-IPT
INSTITUTO PAGAMENTOS ESPECIAIS SP- IPESP
JUNTA COMERC.E.S.PAULO-JUCESP
JUNTA COMERCIAL ESTADO S.P.-JUCESP
PAULISTUR SA.EMPR.TUR.EST.S.P.
POLICIA MILITAR ESTADO SAO PAULO
PROCURADORIA GERAL DO ESTADO
SAO PAULO PREVIDENCIA-SPPREV
SECRETARIA ADMINISTRACAO PENITENCIARIA
SECRETARIA DA CULTURA
SECRETARIA DA EDUCACAO
SECRETARIA DA FAZENDA
SECRETARIA DA FAZENDA E PLANEJAMENTO
SECRETARIA DA HABITACAO
SECRETARIA DA SAUDE
SECRETARIA DA SEGURANCA PUBLICA
SECRETARIA DE AGRICULTURA ABASTECIMENTO
SECRETARIA DE DESENVOLVIMENTO ECONOMICO
SECRETARIA DE DESENVOLVIMENTO REGIONAL
SECRETARIA DE DESENVOLVIMENTO SOCIAL
SECRETARIA DE ENERGIA E MINERACAO
"SECRETARIA DE ESPORTE, LAZER E JUVENTUDE"
SECRETARIA DE ESPORTES
SECRETARIA DE GOVERNO
SECRETARIA DE LOGISTICA E TRANSPORTES
SECRETARIA DE PLANEJAMENTO E GESTAO
SECRETARIA DE SANEAMENTO E RECURSOS HIDR
SECRETARIA DE TURISMO
SECRETARIA DO MEIO AMBIENTE
SECRETARIA EMPREGO E RELACOES TRABALHO
SECRETARIA ENERGIA E MINERACAO
SECRETARIA EST.DIREITOS PESSOA DEFICIENC
SECRETARIA JUSTICA E DEFESA DA CIDADANIA
SECRETARIA ORCAMENTO E GESTAO
SECRETARIA SEGURANCA PUBLICA
SECRETARIA TRANSPORTES METROPOLITANOS
SEGURANCA PUBLICA
SP.CLIN.FAC.MED.MARILIA-HCFAMEMA
SUPERINT.TRAB.ARTES. COMUNIDADES-SUTACO
SUPERINTENDENCIA DE CONTROLE DE ENDEMIAS
TRANSPORTES METROPOLITANOS
